283,106,245,24
110,310,4,336
135,65,195,191
129,45,97,328
156,215,93,112
144,338,2,35
305,273,120,157
64,353,201,194
17,259,198,213
35,72,82,189
3,117,334,197
188,200,79,39
327,151,319,9
351,236,248,327
297,109,249,320
302,51,39,253
153,225,235,320
119,85,207,215
176,217,56,67
269,144,336,234
271,124,335,111
310,116,294,265
156,90,13,219
141,34,125,11
309,337,161,57
152,156,285,210
117,227,220,323
205,36,308,168
316,160,298,11
114,260,141,271
328,300,220,65
98,252,273,27
274,70,142,247
298,129,69,29
131,271,217,37
78,222,286,35
126,91,206,130
245,163,138,161
302,121,312,233
83,50,311,334
35,110,296,266
84,222,86,57
340,91,136,171
189,101,3,260
111,70,40,173
148,275,60,77
262,128,175,355
27,278,162,2
111,123,38,233
2,26,252,119
228,316,138,216
223,30,42,97
199,48,281,12
303,46,230,145
10,114,67,82
255,152,321,148
202,214,7,279
52,192,186,310
242,270,49,58
349,99,67,62
56,276,118,65
3,37,161,193
160,317,261,83
132,204,224,266
10,199,219,175
158,4,123,49
263,194,53,165
359,204,82,295
116,106,352,261
130,99,148,233
10,351,43,259
32,96,178,200
309,139,162,147
30,138,108,132
38,35,5,103
253,279,185,334
119,32,104,334
135,30,356,331
357,354,234,280
353,166,227,141
163,18,209,174
102,104,169,290
299,277,97,65
14,77,308,18
76,17,111,121
241,122,216,80
235,195,250,24
33,251,231,89
32,67,44,4
48,87,96,165
228,54,241,311
119,82,115,352
302,22,312,279
6,352,114,72
290,15,109,33
183,2,356,48
194,266,193,177
87,156,212,126
159,123,175,319
135,144,52,89
96,142,272,114
210,323,264,266
102,261,143,188
247,209,277,350
225,149,17,119
347,178,4,26
15,296,184,329
120,286,291,292
240,2,99,329
348,248,66,98
342,322,96,14
272,179,122,281
80,12,354,230
65,198,81,1
167,14,62,252
301,274,101,98
244,37,126,211
59,16,135,6
118,124,1,214
51,314,254,123
314,358,15,54
219,82,266,187
83,157,148,189
87,224,121,113
110,301,231,139
85,57,24,56
279,24,346,26
163,47,134,134
354,207,282,36
332,264,343,175
225,161,117,240
302,261,188,78
256,356,156,83
199,240,219,160
73,213,152,49
117,316,360,213
346,138,245,66
214,232,2,281
195,177,71,75
180,352,124,88
41,49,331,160
121,222,58,155
290,74,331,272
86,21,152,356
161,17,296,242
71,292,310,68
252,23,32,118
27,186,265,209
227,28,73,268
174,30,86,210
120,326,26,30
3,66,72,142
24,228,49,66
232,173,263,198
207,58,303,177
150,310,298,241
271,57,120,95
12,15,195,22
246,7,134,31
153,284,53,91
170,277,344,326
40,314,137,317
188,51,112,256
130,159,184,198
268,37,212,21
119,304,212,288
116,336,297,213
113,173,113,310
156,246,161,166
6,271,183,328
226,251,282,151
129,319,194,107
297,237,8,131
31,129,149,80
250,177,313,208
355,87,73,168
61,155,266,225
108,115,25,14
255,188,5,5
19,11,23,218
264,18,99,63
87,206,1,19
74,207,70,80
8,77,335,165
210,4,142,199
216,256,266,3
29,237,6,123
347,163,52,360
355,183,229,314
18,57,163,203
127,220,36,91
98,99,317,321
21,59,325,237
66,183,107,103
39,4,186,63
139,148,320,258
78,278,302,259
34,77,107,157
351,311,263,298
7,165,272,100
111,261,38,148
253,339,256,116
70,224,101,75
287,147,62,104
357,260,61,331
237,268,99,165
359,248,48,175
235,130,125,345
144,285,259,319
58,100,187,278
170,171,77,234
359,132,348,28
295,163,229,79
277,95,70,135
333,356,263,198
222,327,298,272
70,289,38,202
96,196,96,304
41,249,320,39
101,224,358,326
151,4,253,12
125,112,209,18
28,328,14,293
148,75,349,127
239,301,143,49
181,280,79,148
71,39,123,103
276,27,54,359
353,245,31,257
81,277,63,84
319,336,207,308
168,117,186,329
48,77,359,297
79,286,299,57
151,348,10,296
57,4,153,224
197,130,141,292
151,91,234,322
88,258,266,6
137,268,290,177
40,77,251,304
76,276,326,28
78,194,227,93
199,27,102,201
174,130,137,205
221,74,131,28
268,130,191,49
213,292,212,357
2,352,164,190
93,280,33,309
314,353,35,332
239,115,15,28
103,166,26,1
253,280,124,139
144,215,327,12
344,206,316,149
147,77,295,305
357,126,255,111
237,116,314,340
236,139,187,214
244,39,346,237
12,66,193,187
84,233,294,87
117,106,63,96
239,212,199,11
30,211,227,46
25,191,304,152
56,107,186,138
191,329,42,89
204,120,140,200
243,317,315,161
71,50,63,1
163,208,6,348
325,38,261,142
238,340,229,219
334,241,266,160
169,173,331,283
359,287,150,261
270,229,240,59
260,285,130,269
1,316,164,319
276,83,75,39
135,181,82,267
164,84,34,201
139,144,184,267
108,340,174,255
33,279,285,110
332,270,237,312
200,121,323,314
265,328,28,205
295,56,279,244
153,328,269,146
264,167,161,79
126,225,5,126
131,142,162,105
4,179,238,39
344,172,164,139
238,214,169,327
251,169,183,26
107,85,206,46
114,74,95,174
270,323,80,242
207,262,349,186
329,147,180,103
35,209,7,91
316,334,353,183
121,58,356,358
187,307,73,154
296,85,303,296
140,175,274,69
269,267,62,322
219,161,67,254
329,218,214,354
24,136,18,105
163,150,148,238
249,23,144,247
163,54,358,153
275,231,67,8
308,57,232,181
354,133,42,285
128,98,89,334
318,206,52,309
177,249,226,284
55,356,214,25
5,175,239,93
322,42,258,42
113,269,321,26
153,120,190,323
61,210,245,140
294,310,137,336
346,169,51,182
173,319,190,75
334,95,84,188
46,18,177,7
93,251,289,71
289,269,318,230
274,13,161,18
1,276,155,91
8,277,173,55
269,228,80,279
179,119,214,269
190,164,121,117
